Line_Name,Line_Color,Station_Code,Direct_Connection_Forward,Direct_Connection_Reverse,Internal_Connection_Branch,Internal_Connection_Other_Line,External_Connection_Other_Line
Punggol LRT (West Loop),Gray,PTC,PW1,PW7,PE1/PE7,NE17,
Punggol LRT (West Loop),Gray,PW1,PW2,PTC,,,
Punggol LRT (West Loop),Gray,PW2,PW3,PW1,,,
Punggol LRT (West Loop),Gray,PW3,PW4,PW2,,,
Punggol LRT (West Loop),Gray,PW4,PW5,PW3,,,
Punggol LRT (West Loop),Gray,PW5,PW6,PW4,,,
Punggol LRT (West Loop),Gray,PW6,PW7,PW5,,,
Punggol LRT (West Loop),Gray,PW7,PTC,PW6,,,
Punggol LRT (East Loop),Gray,PTC,PE1,PE7,PW1/PW7,NE17,
Punggol LRT (East Loop),Gray,PE1,PE2,PTC,,,
Punggol LRT (East Loop),Gray,PE2,PE3,PE1,,,
Punggol LRT (East Loop),Gray,PE3,PE4,PE2,,,
Punggol LRT (East Loop),Gray,PE4,PE5,PE3,,,
Punggol LRT (East Loop),Gray,PE5,PE6,PE4,,,
Punggol LRT (East Loop),Gray,PE6,PE7,PE5,,,
Punggol LRT (East Loop),Gray,PE7,PTC,PE6,,,
Sengkang LRT (West Loop),Gray,STC,SW1,SW8,SE1/SE5,NE16,
Sengkang LRT (West Loop),Gray,SW1,SW2,STC,,,
Sengkang LRT (West Loop),Gray,SW2,SW3,SW1,,,
Sengkang LRT (West Loop),Gray,SW3,SW4,SW2,,,
Sengkang LRT (West Loop),Gray,SW4,SW5,SW3,,,
Sengkang LRT (West Loop),Gray,SW5,SW6,SW4,,,
Sengkang LRT (West Loop),Gray,SW6,SW7,SW5,,,
Sengkang LRT (West Loop),Gray,SW7,SW8,SW6,,,
Sengkang LRT (West Loop),Gray,SW8,STC,SW7,,,
Sengkang LRT (East Loop),Gray,STC,SE1,SE5,SW1/SW8,NE16,
Sengkang LRT (East Loop),Gray,SE1,SE2,STC,,,
Sengkang LRT (East Loop),Gray,SE2,SE3,SE1,,,
Sengkang LRT (East Loop),Gray,SE3,SE4,SE2,,,
Sengkang LRT (East Loop),Gray,SE4,SE5,SE3,,,
Sengkang LRT (East Loop),Gray,SE5,STC,SE4,,,
Thomson-East Coast MRT,Brown,TE1,TE2,,,,
Thomson-East Coast MRT,Brown,TE2,TE3,TE1,,NS9,
Thomson-East Coast MRT,Brown,TE3,TE4,TE2,,,
Thomson-East Coast MRT,Brown,TE4,TE5,TE3,,,
Thomson-East Coast MRT,Brown,TE5,TE6,TE4,,,
Thomson-East Coast MRT,Brown,TE6,TE7,TE5,,,
Thomson-East Coast MRT,Brown,TE7,TE8,TE6,,,
Thomson-East Coast MRT,Brown,TE8,TE9,TE7,,,
Thomson-East Coast MRT,Brown,TE9,TE11,TE8,,CC17,
Thomson-East Coast MRT,Brown,TE11,TE12,TE9,,DT10,
Thomson-East Coast MRT,Brown,TE12,TE13,TE11,,,
Thomson-East Coast MRT,Brown,TE13,TE14,TE12,,,
Thomson-East Coast MRT,Brown,TE14,TE15,TE13,,NS22,
Thomson-East Coast MRT,Brown,TE15,TE16,TE14,,,
Thomson-East Coast MRT,Brown,TE16,TE17,TE15,,,
Thomson-East Coast MRT,Brown,TE17,TE18,TE16,,EW16/NE3,
Thomson-East Coast MRT,Brown,TE18,TE19,TE17,,,
Thomson-East Coast MRT,Brown,TE19,TE20,TE18,,,
Thomson-East Coast MRT,Brown,TE20,TE22,TE19,,CE2/NS27,
Thomson-East Coast MRT,Brown,TE22,TE23,TE20,,,
Thomson-East Coast MRT,Brown,TE23,TE24,TE22,,,
Thomson-East Coast MRT,Brown,TE24,TE25,TE23,,,
Thomson-East Coast MRT,Brown,TE25,TE26,TE24,,,
Thomson-East Coast MRT,Brown,TE26,TE27,TE25,,,
Thomson-East Coast MRT,Brown,TE27,TE28,TE26,,,
Thomson-East Coast MRT,Brown,TE28,TE29,TE27,,,
Thomson-East Coast MRT,Brown,TE29,,TE28,,,
North-South MRT,Red,NS1,NS2,,,EW24,
North-South MRT,Red,NS2,NS3,NS1,,,
North-South MRT,Red,NS3,NS4,NS2,,,
North-South MRT,Red,NS4,NS5,NS3,,BP1,
North-South MRT,Red,NS5,NS7,NS4,,,
North-South MRT,Red,NS7,NS8,NS5,,,
North-South MRT,Red,NS8,NS9,NS7,,,
North-South MRT,Red,NS9,NS10,NS8,,TE2,
North-South MRT,Red,NS10,NS11,NS9,,,
North-South MRT,Red,NS11,NS12,NS10,,,
North-South MRT,Red,NS12,NS13,NS11,,,
North-South MRT,Red,NS13,NS14,NS12,,,
North-South MRT,Red,NS14,NS15,NS13,,,
North-South MRT,Red,NS15,NS16,NS14,,,
North-South MRT,Red,NS16,NS17,NS15,,,
North-South MRT,Red,NS17,NS18,NS16,,CC15,
North-South MRT,Red,NS18,NS19,NS17,,,
North-South MRT,Red,NS19,NS20,NS18,,,
North-South MRT,Red,NS20,NS21,NS19,,,
North-South MRT,Red,NS21,NS22,NS20,,,DT11
North-South MRT,Red,NS22,NS23,NS21,,TE14,
North-South MRT,Red,NS23,NS24,NS22,,,
North-South MRT,Red,NS24,NS25,NS23,,CC1/NE6,
North-South MRT,Red,NS25,NS26,NS24,,EW13,
North-South MRT,Red,NS26,NS27,NS25,,EW14,
North-South MRT,Red,NS27,NS28,NS26,,CE2/TE20,
North-South MRT,Red,NS28,,NS27,,,
North-East MRT,Purple,NE1,NE3,,,CC29,
North-East MRT,Purple,NE3,NE4,NE1,,TE17/EW16,
North-East MRT,Purple,NE4,NE5,NE3,,DT19,
North-East MRT,Purple,NE5,NE6,NE4,,,
North-East MRT,Purple,NE6,NE7,NE5,,NS24/CC1,
North-East MRT,Purple,NE7,NE8,NE6,,DT12,
North-East MRT,Purple,NE8,NE9,NE7,,,
North-East MRT,Purple,NE9,NE10,NE8,,,
North-East MRT,Purple,NE10,NE11,NE9,,,
North-East MRT,Purple,NE11,NE12,NE10,,,
North-East MRT,Purple,NE12,NE13,NE11,,CC13,
North-East MRT,Purple,NE13,NE14,NE12,,,
North-East MRT,Purple,NE14,NE15,NE13,,,
North-East MRT,Purple,NE15,NE16,NE14,,,
North-East MRT,Purple,NE16,NE17,NE15,,STC,
North-East MRT,Purple,NE17,,NE16,,PTC,
East-West MRT (Airport),Green,CG2,CG1,,,,
East-West MRT (Airport),Green,CG1,CG,CG2,,DT35,
East-West MRT (Airport),Green,CG,,CG1,,EW4,
East-West MRT,Green,EW1,EW2,,,,
East-West MRT,Green,EW2,EW3,EW1,,,DT32
East-West MRT,Green,EW3,EW4,EW2,,,
East-West MRT,Green,EW4,EW5,EW3,,CG,
East-West MRT,Green,EW5,EW6,EW4,,,
East-West MRT,Green,EW6,EW7,EW5,,,
East-West MRT,Green,EW7,EW8,EW6,,,
East-West MRT,Green,EW8,EW9,EW7,,CC9,
East-West MRT,Green,EW9,EW10,EW8,,,
East-West MRT,Green,EW10,EW11,EW9,,,
East-West MRT,Green,EW11,EW12,EW10,,,
East-West MRT,Green,EW12,EW13,EW11,,DT14,
East-West MRT,Green,EW13,EW14,EW12,,NS25,
East-West MRT,Green,EW14,EW15,EW13,,NS26,
East-West MRT,Green,EW15,EW16,EW14,,,
East-West MRT,Green,EW16,EW17,EW15,,,
East-West MRT,Green,EW17,EW18,EW16,,,
East-West MRT,Green,EW18,EW19,EW17,,,
East-West MRT,Green,EW19,EW20,EW18,,,
East-West MRT,Green,EW20,EW21,EW19,,,
East-West MRT,Green,EW21,EW22,EW20,,CC22,
East-West MRT,Green,EW22,EW23,EW21,,,
East-West MRT,Green,EW23,EW24,EW22,,,
East-West MRT,Green,EW24,EW25,EW23,,NS1,
East-West MRT,Green,EW25,EW26,EW24,,,
East-West MRT,Green,EW26,EW27,EW25,,,
East-West MRT,Green,EW27,EW28,EW26,,,
East-West MRT,Green,EW28,EW29,EW27,,,
East-West MRT,Green,EW29,EW30,EW28,,,
East-West MRT,Green,EW30,EW31,EW29,,,
East-West MRT,Green,EW31,EW32,EW30,,,
East-West MRT,Green,EW32,EW33,EW31,,,
East-West MRT,Green,EW33,,EW32,,,
Downtown MRT,Blue,DT1,DT2,,,,BP6
Downtown MRT,Blue,DT2,DT3,DT1,,,
Downtown MRT,Blue,DT3,DT5,DT2,,,
Downtown MRT,Blue,DT5,DT6,DT3,,,
Downtown MRT,Blue,DT6,DT7,DT5,,,
Downtown MRT,Blue,DT7,DT8,DT6,,,
Downtown MRT,Blue,DT8,DT9,DT7,,,
Downtown MRT,Blue,DT9,DT10,DT8,,CC19,
Downtown MRT,Blue,DT10,DT11,DT9,,TE11,
Downtown MRT,Blue,DT11,DT12,DT10,,,NS21
Downtown MRT,Blue,DT12,DT13,DT11,,NE7,
Downtown MRT,Blue,DT13,DT14,DT12,,,
Downtown MRT,Blue,DT14,DT15,DT13,,EW12,
Downtown MRT,Blue,DT15,DT16,DT14,,CC4,
Downtown MRT,Blue,DT16,DT17,DT15,,CE1,
Downtown MRT,Blue,DT17,DT18,DT16,,,
Downtown MRT,Blue,DT18,DT19,DT17,,,
Downtown MRT,Blue,DT19,DT20,DT18,,NE4,
Downtown MRT,Blue,DT20,DT21,DT19,,,
Downtown MRT,Blue,DT21,DT22,DT20,,,
Downtown MRT,Blue,DT22,DT23,DT21,,,
Downtown MRT,Blue,DT23,DT24,DT22,,,
Downtown MRT,Blue,DT24,DT25,DT23,,,
Downtown MRT,Blue,DT25,DT26,DT24,,,
Downtown MRT,Blue,DT26,DT27,DT25,,CC10,
Downtown MRT,Blue,DT27,DT28,DT26,,,
Downtown MRT,Blue,DT28,DT29,DT27,,,
Downtown MRT,Blue,DT29,DT30,DT28,,,
Downtown MRT,Blue,DT30,DT31,DT29,,,
Downtown MRT,Blue,DT31,DT32,DT30,,,
Downtown MRT,Blue,DT32,DT33,DT31,,,EW2
Downtown MRT,Blue,DT33,DT34,DT32,,,
Downtown MRT,Blue,DT34,DT35,DT33,,,
Downtown MRT,Blue,DT35,,DT34,,CG1,
Circle MRT (Marina),Orange,CE2,CE1,,,NS27/TE20,
Circle MRT (Marina),Orange,CE1,CC4,CE2,,DT16,
Circle MRT (Marina),Orange,CC4,,CE1,CC3/CC5,DT15,
Circle,Orange,CC1,CC2,,,NE6/NS24,
Circle,Orange,CC2,CC3,CC1,,,
Circle,Orange,CC3,CC4,CC2,,,
Circle,Orange,CC4,CC5,CC3,CE1,DT15,
Circle,Orange,CC5,CC6,CC4,,,
Circle,Orange,CC6,CC7,CC5,,,
Circle,Orange,CC7,CC8,CC6,,,
Circle,Orange,CC8,CC9,CC7,,,
Circle,Orange,CC9,CC10,CC8,,EW8,
Circle,Orange,CC10,CC11,CC9,,DT26,
Circle,Orange,CC11,CC12,CC10,,,
Circle,Orange,CC12,CC13,CC11,,,
Circle,Orange,CC13,CC14,CC12,,NE12,
Circle,Orange,CC14,CC15,CC13,,,
Circle,Orange,CC15,CC16,CC14,,NS17,
Circle,Orange,CC16,CC17,CC15,,,
Circle,Orange,CC17,CC19,CC16,,TE9,
Circle,Orange,CC19,CC20,CC17,,DT9,
Circle,Orange,CC20,CC21,CC19,,,
Circle,Orange,CC21,CC22,CC20,,,
Circle,Orange,CC22,CC23,CC21,,EW21,
Circle,Orange,CC23,CC24,CC22,,,
Circle,Orange,CC24,CC25,CC23,,,
Circle,Orange,CC25,CC26,CC24,,,
Circle,Orange,CC26,CC27,CC25,,,
Circle,Orange,CC27,CC28,CC26,,,
Circle,Orange,CC28,CC29,CC27,,,
Circle,Orange,CC29,,CC28,,NE1,
Bukit Panjang LRT (Loop via Petir),Gray,BP6,BP7,BP5,BP13,,DT1
Bukit Panjang LRT (Loop via Petir),Gray,BP7,BP8,BP6,,,
Bukit Panjang LRT (Loop via Petir),Gray,BP8,BP9,BP7,,,
Bukit Panjang LRT (Loop via Petir),Gray,BP9,BP10,BP8,,,
Bukit Panjang LRT (Loop via Petir),Gray,BP10,BP11,BP9,,,
Bukit Panjang LRT (Loop via Petir),Gray,BP11,BP12,BP10,,,
Bukit Panjang LRT (Loop via Petir),Gray,BP12,BP13,BP11,,,
Bukit Panjang LRT (Loop via Petir),Gray,BP13,BP6,BP12,,,
Bukit Panjang LRT (Loop via Senja),Gray,BP6,BP13,BP5,BP7,,DT1
Bukit Panjang LRT (Loop via Senja),Gray,BP13,BP12,BP6,,,
Bukit Panjang LRT (Loop via Senja),Gray,BP12,BP11,BP13,,,
Bukit Panjang LRT (Loop via Senja),Gray,BP11,BP10,BP12,,,
Bukit Panjang LRT (Loop via Senja),Gray,BP10,BP9,BP11,,,
Bukit Panjang LRT (Loop via Senja),Gray,BP9,BP8,BP10,,,
Bukit Panjang LRT (Loop via Senja),Gray,BP8,BP7,BP9,,,
Bukit Panjang LRT (Loop via Senja),Gray,BP7,BP6,BP8,,,
Bukit Panjang LRT (Trunk),Gray,BP1,BP2,,,NS4,
Bukit Panjang LRT (Trunk),Gray,BP2,BP3,BP1,,,
Bukit Panjang LRT (Trunk),Gray,BP3,BP4,BP2,,,
Bukit Panjang LRT (Trunk),Gray,BP4,BP5,BP3,,,
Bukit Panjang LRT (Trunk),Gray,BP5,BP6,BP4,,,
Bukit Panjang LRT (Trunk),Gray,BP6,,BP5,BP7/BP13,,
